recommender,TopK,shrink,MAP
ItemKNNCFRecommender,72,102,0.002716183851817881
ItemKNNCFRecommender,68,108,0.002745611353155495
ItemKNNCFRecommender,38,108,0.002520701164360876
ItemKNNCFRecommender,46,116,0.002573950928686082
ItemKNNCFRecommender,57,105,0.002755229432597009
ItemKNNCFRecommender,62,111,0.002755229432597009
ItemKNNCFRecommender,61,113,0.002753445947667457
ItemKNNCFRecommender,80,112,0.002721343218935515
ItemKNNCFRecommender,44,119,0.0025043950164335403
ItemKNNCFRecommender,63,107,0.002753000076435069
ItemKNNCFRecommender,62,106,0.002755229432597009
ItemKNNCFRecommender,62,107,0.002755229432597009
ItemKNNCFRecommender,71,116,0.0027242095340008665
ItemKNNCFRecommender,54,106,0.0027084129531962605
ItemKNNCFRecommender,450,115,0.00251821702463757
ItemKNNCFRecommender,72,111,0.0027242095340008665
ItemKNNCFRecommender,47,107,0.002573950928686082
ItemKNNCFRecommender,39,115,0.0025229305205228163
ItemKNNCFRecommender,63,109,0.002753000076435069
ItemKNNCFRecommender,63,118,0.002685673520344468
ItemKNNCFRecommender,55,99,0.0027525542052026807
ItemKNNCFRecommender,51,107,0.0025630589314377438
ItemKNNCFRecommender,79,101,0.002718667991541186
ItemKNNCFRecommender,77,121,0.0026508318683278556
ItemKNNCFRecommender,49,121,0.0024925475808300853
ItemKNNCFRecommender,60,109,0.002755229432597009
ItemKNNCFRecommender,53,105,0.0027101964381258128
ItemKNNCFRecommender,42,110,0.002520701164360876
ItemKNNCFRecommender,36,104,0.0025229305205228163
ItemKNNCFRecommender,59,105,0.002755229432597009
ItemKNNCFRecommender,59,107,0.002755229432597009
ItemKNNCFRecommender,55,105,0.002755229432597009
ItemKNNCFRecommender,70,111,0.0027242095340008665
ItemKNNCFRecommender,52,104,0.00271554689291447
ItemKNNCFRecommender,56,108,0.002755229432597009
ItemKNNCFRecommender,48,104,0.002565925246503096
ItemKNNCFRecommender,44,112,0.002577772682106551
ItemKNNCFRecommender,60,109,0.002755229432597009
ItemKNNCFRecommender,53,107,0.0027101964381258128
ItemKNNCFRecommender,70,110,0.0027242095340008665
ItemKNNCFRecommender,53,96,0.002707521210731484
ItemKNNCFRecommender,62,104,0.002753445947667457
ItemKNNCFRecommender,68,109,0.002740260898366838
ItemKNNCFRecommender,80,111,0.002721343218935515
ItemKNNCFRecommender,63,102,0.0027431909093225313
ItemKNNCFRecommender,60,114,0.002755229432597009
ItemKNNCFRecommender,76,115,0.0027242095340008665
ItemKNNCFRecommender,31,113,0.002498152819180107
ItemKNNCFRecommender,40,117,0.002520701164360876
ItemKNNCFRecommender,55,109,0.002755229432597009
ItemKNNCFRecommender,54,103,0.0027084129531962605
ItemKNNCFRecommender,47,107,0.002573950928686082
ItemKNNCFRecommender,59,111,0.002755229432597009
ItemKNNCFRecommender,71,114,0.0027242095340008665
ItemKNNCFRecommender,46,113,0.002573950928686082
ItemKNNCFRecommender,59,114,0.002755229432597009
ItemKNNCFRecommender,61,105,0.002755229432597009
ItemKNNCFRecommender,54,115,0.0027101964381258128
ItemKNNCFRecommender,69,113,0.0027242095340008665
ItemKNNCFRecommender,66,104,0.002749433106575964
ItemKNNCFRecommender,86,117,0.0027052918545695435
ItemKNNCFRecommender,42,119,0.0024473234986878653
ItemKNNCFRecommender,58,109,0.002755229432597009
ItemKNNCFRecommender,62,109,0.002755229432597009
ItemKNNCFRecommender,27,122,0.002432800835690082
ItemKNNCFRecommender,171,110,0.0024981528191801066
ItemKNNCFRecommender,48,106,0.002565925246503096
